world_rank,institution,country,quality_of_education,quality_of_faculty,influence,patents,Average,rank_by_avg,GRE Score,TOEFL Score,CGPA
1,Harvard University,USA,1,1,1,3,1.5,1,337,118,9.65
2,Stanford University,USA,9,4,3,10,6.5,3,324,107,8.87
3,Massachusetts Institute of Technology,USA,3,2,2,1,2,2,316,104,8
4,University of Cambridge,United Kingdom,2,5,6,48,15.25,10,322,110,8.67
5,University of Oxford,United Kingdom,7,10,12,15,11,7,314,103,8.21
6,Columbia University,USA,13,9,13,4,9.75,5,330,115,9.34
7,"University of California, Berkeley",USA,5,6,4,29,11,7,321,109,8.2
8,University of Chicago,USA,11,8,16,141,44,25,308,101,7.9
9,Princeton University,USA,4,3,25,225,64.25,37,302,102,8
10,Cornell University,USA,12,14,15,11,13,9,323,108,8.6
11,Yale University,USA,10,11,8,49,19.5,13,325,106,8.4
12,California Institute of Technology,USA,6,7,9,13,8.75,4,327,111,9
13,University of Tokyo,Japan,16,38,19,7,20,15,328,112,9.1
14,University of Pennsylvania,USA,20,28,18,14,20,15,307,109,8
15,"University of California, Los Angeles",USA,28,13,14,9,16,11,311,104,8.2
16,Johns Hopkins University,USA,18,16,11,2,11.75,8,314,105,8.3
17,Kyoto University,Japan,22,24,42,16,26,16,317,107,8.7
18,New York University,USA,32,18,29,43,30.5,19,319,106,8
19,"University of Michigan, Ann Arbor",USA,24,140,20,12,49,29,318,110,8.8
20,Swiss Federal Institute of Technology in Zurich,Switzerland,17,17,27,57,29.5,18,303,102,8.5
21,"University of California, San Diego",USA,36,19,5,17,19.25,12,312,107,7.9
22,Northwestern University,USA,163,104,34,42,85.75,51,325,114,8.4
23,Hebrew University of Jerusalem,Israel,15,15,97,35,40.5,23,328,116,9.5
24,Seoul National University,South Korea,367,218,163,6,188.5,141,334,119,9.7
25,University of Wisconsin–Madison,USA,29,34,24,27,28.5,17,336,119,9.8
26,"University of California, San Francisco",USA,367,20,7,56,112.5,72,340,120,9.6
27,University College London,United Kingdom,21,27,22,67,34.25,20,322,109,8.8
28,Duke University,USA,74,56,23,33,46.5,26,298,98,7.5
29,Rockefeller University,USA,49,12,28,289,94.5,56,295,93,7.2
30,University of Texas at Austin,USA,75,25,50,38,47,27,310,99,7.3
31,University of Washington - Seattle,USA,48,41,10,40,34.75,21,300,97,8.1
32,University of Toronto,Canada,70,32,17,145,66,38,327,103,8.3
33,University of Illinois at Urbana–Champaign,USA,33,21,48,65,41.75,24,338,118,9.4
34,Keio University,Japan,284,218,246,80,207,162,340,114,9.6
35,Imperial College London,United Kingdom,90,30,26,47,48.25,28,331,112,9.8
36,École Polytechnique,France,98,216,314,172,200,154,320,110,9.2
37,École normale supérieure - Paris,France,8,54,157,871,272.5,255,299,106,8.4
38,Waseda University,Japan,288,218,389,248,285.75,280,300,105,7.8
39,Weizmann Institute of Science,Israel,19,22,63,45,37.25,22,304,105,7.5
40,University of North Carolina at Chapel Hill,USA,124,86,32,41,70.75,42,307,108,7.7
41,University of Virginia,USA,209,126,74,97,126.5,81,308,110,8
42,McGill University,Canada,34,75,53,132,73.5,45,316,105,8.2
43,"Purdue University, West Lafayette",USA,55,47,95,28,56.25,33,313,107,8.5
44,Dartmouth College,USA,40,218,167,63,122,79,332,117,9.1
45,Osaka University,Japan,46,75,58,18,49.25,30,326,113,9.4
46,University of Pittsburgh - Pittsburgh Campus,USA,79,218,57,50,101,62,322,110,9.1
47,"Pennsylvania State University, University Park",USA,230,62,43,92,106.75,67,329,114,9.3
48,"University of Minnesota, Twin Cities",USA,63,63,40,59,56.25,33,339,119,9.7
49,"Ohio State University, Columbus",USA,96,82,52,44,68.5,39,321,110,8.85
50,Rutgers University-New Brunswick,USA,91,37,66,61,63.75,36,327,111,8.4
51,University of Southern California,USA,152,39,64,34,72.25,43,313,98,8.3
52,Washington University in St. Louis,USA,101,71,21,169,90.5,53,312,100,7.9
53,"University of California, Davis",USA,54,59,33,62,52,31,334,116,8
54,University of Colorado Boulder,USA,80,31,38,133,70.5,40,324,112,8.1
55,University of Edinburgh,United Kingdom,44,33,37,228,85.5,50,322,110,8
